Type	Gene	Text
TextMining	CCDC82	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CCNB1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CD3E	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CD3G	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CDC25A	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CDC25C	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CDC7	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CDK2	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CDKN1A	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CHEK1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CHEK2	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CHKB	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CUL5	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	DAP3	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	DCLRE1C	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	DDX10	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ETS1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	FANCA	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	FANCD2	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	FKBP1A	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	FKBP1C	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	GADD45A	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	GPR132	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	GRIA4	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	H1F0	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HINFP	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H1T	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4A	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4B	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4C	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4D	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HIST1H4E	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
